BataryaGucu,Bluetooth,MikroislemciHizi,CiftHat,OnKameraMP,4G,DahiliBellek,Kalinlik,Agirlik,CekirdekSayisi,ArkaKameraMP,CozunurlukYukseklik,CozunurlukGenislik,RAM,BataryaOmru,3G,Dokunmatik,WiFi,FiyatAraligi,Renk
1325,1,1.9,1,2,1,50,0.1,146,1,10,499,695,2328,2,0,1,1,1,0
1046,0,2.8,0,0,0,58,0.2,100,8,0,259,1040,3863,9,0,0,0,2,1
843,1,1.3,0,1,1,16,0.9,119,7,4,593,732,1734,14,1,1,0,3,2
894,1,0.5,0,1,0,50,0.5,199,3,14,1285,1462,3615,6,0,1,0,2,3
936,1,1,1,1,1,18,0.2,153,3,18,1330,1686,2391,3,0,0,0,1,0
1162,1,1,1,0,1,50,0.5,104,4,10,332,866,1404,15,0,0,0,3,0
1849,0,0.5,1,1,1,29,0.5,181,7,12,978,1986,3330,15,0,1,0,2,4
1860,1,0.5,0,2,0,55,0.7,83,6,3,195,799,676,4,0,1,0,0,0
1536,1,0.8,1,12,1,13,0.3,105,7,20,22,1634,2020,16,0,0,1,1,5
539,0,0.6,0,9,1,21,0.1,145,7,14,551,599,3597,9,1,1,1,1,6
1563,1,1.7,0,10,1,16,0.1,151,7,13,410,572,3922,8,1,1,0,2,1
1830,1,0.5,1,0,1,7,0.9,191,6,12,460,1583,2334,14,1,0,1,1,6
648,1,1.9,0,4,1,8,1,91,5,19,819,1997,2991,4,1,1,0,1,2
561,0,2.1,0,7,0,2,0.1,193,3,13,1055,1294,665,4,0,0,1,0,8
1197,0,0.5,0,9,1,20,0.1,129,5,10,214,1710,2885,14,0,0,0,1,7
1081,0,1.9,0,13,0,42,0.1,101,7,17,83,816,2456,7,0,1,1,3,9
1008,1,0.8,1,11,1,61,1,114,3,15,1077,1122,2009,11,0,1,1,3,6
1520,0,2.2,1,5,0,33,0.5,177,8,18,151,1005,3826,13,0,0,0,2,10
558,0,2.8,1,1,0,49,0.8,142,5,4,997,1605,392,8,0,0,0,0,8
793,1,1,0,5,0,30,0.9,133,2,15,1858,1935,2332,14,0,0,0,1,6
1260,0,2,0,2,0,23,0.2,123,7,10,905,1313,2208,10,0,1,0,1,10
600,0,1.8,1,9,0,6,0.8,199,2,15,486,1032,3495,7,0,0,1,1,10
1884,1,1,0,3,1,24,0.5,149,6,4,1168,1179,1396,9,0,0,0,3,9
1600,1,2.5,0,1,1,19,0.6,88,6,9,831,1713,1179,18,1,1,0,3,11
1068,1,1.3,1,6,0,52,0.1,97,8,7,994,1500,1436,15,0,1,1,3,3
914,0,0.7,1,1,0,60,0.9,198,5,4,740,840,3736,5,0,1,1,2,6
605,1,1.5,1,9,0,18,0.9,162,2,14,329,656,2301,8,0,1,1,3,4
1368,1,3,0,10,1,50,0.2,97,7,18,698,829,2496,5,1,0,0,1,7
1068,1,0.7,0,9,1,51,0.5,124,4,15,1405,1910,550,6,0,0,1,0,5
950,0,0.5,1,9,1,55,0.1,156,5,10,774,843,1095,13,1,0,1,0,11
926,0,0.8,1,6,0,59,0.8,161,7,14,84,793,256,2,0,1,0,0,1
1777,1,2.2,0,0,1,15,0.2,100,4,7,553,874,1552,10,0,0,1,3,2
1801,1,0.5,0,6,1,52,0.9,120,6,10,100,1708,258,9,0,1,1,0,3
843,0,0.5,1,1,0,56,0.1,147,5,17,140,800,2341,20,0,0,0,3,8
501,1,2.3,1,12,0,54,0.3,131,4,19,504,1089,2346,2,0,1,0,3,4
1044,1,1.8,1,4,0,12,0.7,104,6,5,1230,1263,1794,19,0,0,0,3,3
545,1,0.5,1,0,0,11,0.3,131,3,1,381,1452,616,19,0,0,0,0,11
1591,0,2.2,1,3,0,49,0.4,154,6,7,1384,1883,3703,20,0,0,1,2,6
706,1,0.5,1,13,0,31,0.1,108,3,19,543,938,2419,4,0,1,0,3,6
1703,0,0.5,1,0,0,22,0.6,192,1,0,286,1235,1046,13,0,1,0,0,8
1802,1,2.7,0,0,0,10,0.6,101,7,9,253,590,696,3,0,0,1,0,2
713,1,1.4,0,4,1,53,0.8,98,1,17,123,1477,1462,13,0,1,0,0,9
1000,0,0.5,1,12,1,63,0.7,179,8,18,1537,1761,3744,7,1,1,0,2,10
774,0,2.8,1,7,0,55,0.9,124,3,18,8,896,3916,12,0,0,1,2,4
1379,1,1.1,1,5,0,36,0.8,200,2,7,538,1376,3426,17,0,0,0,2,10
1067,0,2.4,0,3,0,40,0.6,122,8,15,494,1989,604,11,0,1,1,0,11
1007,0,2.9,0,5,0,21,0.8,185,8,12,479,831,1301,12,0,0,1,0,10
761,0,0.5,1,9,1,3,0.8,196,7,15,1325,1945,2248,15,0,0,0,1,4
714,0,2.1,0,5,0,11,0.1,197,3,6,1750,1857,1164,19,0,0,1,3,5
1715,1,1,0,4,0,31,0.5,83,8,17,638,1615,625,13,0,1,1,0,11
1681,0,2.5,0,6,1,18,0.3,167,1,7,850,1005,2265,20,0,0,0,1,3
981,0,1.9,0,0,1,2,0.1,136,3,7,75,688,1539,19,1,1,1,0,10
1172,0,2.1,0,4,1,41,0.1,95,3,7,1314,1884,1107,5,1,1,1,3,0
1000,1,2.7,1,1,0,58,1,135,5,12,461,833,862,20,0,1,1,0,11
1855,1,0.5,1,5,1,32,0.6,187,8,18,267,1161,3933,7,0,1,0,2,2
1402,0,0.6,0,3,1,46,0.3,87,7,12,1081,1767,347,12,0,1,0,0,4
1028,0,2.8,1,1,0,30,0.1,193,1,10,1801,1923,1424,13,0,1,0,3,10
